Date,Apple,Microsoft
2022-01-03,181.7783966064453,334.05926513671875
2022-01-04,179.47134399414062,328.33111572265625
2022-01-05,174.69741821289062,315.7271728515625
2022-01-06,171.78114318847656,313.2323303222656
2022-01-07,171.950927734375,313.3919982910156
2022-01-10,171.9709014892578,313.6215209960937
2022-01-11,174.8572235107422,314.330078125
2022-01-12,175.306640625,317.6132507324219
2022-01-13,171.9709014892578,304.1710510253906
2022-01-14,172.84979248046875,309.5599365234375
2022-01-18,169.5839385986328,302.0254821777344
2022-01-19,166.0184783935547,302.7040710449219
2022-01-20,164.3006591796875,300.9776611328125
2022-01-21,162.20335388183594,295.4191589355469
2022-01-24,161.41433715820312,295.7584533691406
2022-01-25,159.57669067382812,287.89471435546875
2022-01-26,159.48680114746094,296.0977478027344
2022-01-27,159.0174102783203,299.2212829589844
2022-01-28,170.11326599121094,307.6239318847656
2022-01-31,174.55760192871094,310.3383178710937
